Country,Confirmed,Deaths,Recovered,Active,Population,Continent 
St. Kitts and Nevis,,17435.92743,,,53192,North America
"Korea, Rep.",4.07,31489.1227,,,51780579,Asia
Kuwait,6.79,,,,4270563,Asia
Latin North America & Caribbean (excluding high income),10.27146105,6733.112385,,,595242966,North America
Lao PDR,0.95,2630.203774,,,7275556,
Lebanon,6.61,4891.00147,,,6825442,Asia
Liberia,3.3,583.2717273,,,5057677,Africa
Libya,19.39,3699.228621,,,6871287,Africa
St. Lucia,17.13,9276.117829,,,183629,North America
Latin North America & Caribbean,10.28013515,7417.252167,,,652276325,North America
Least developed countries: UN classification,5.007622426,1068.79814,,,1057438163,
Low income,5.103180499,821.8629308,,,665149035,
Liechtenstein,,,,,38137,Europe
Sri Lanka,4.84,3682.038425,,,21919000,Asia
Lower middle income,6.175116219,2200.401758,,,3330652547,
Low & middle income,6.386114735,4759.244261,,,6509474374,
Lesotho,24.65,861.0145481,,,2142252,Africa
Late-demographic dividend,5.934921113,9758.448272,,,2307887395,
Lithuania,8.43,19997.59253,,,2794700,
Luxembourg,6.96,115873.6026,,,632275,Europe
Latvia,8.19,17619.95239,,,1901548,Europe
"Macao SAR, China",2.5,,,,649342,Asia
St. Martin (French part),,,,,38659,Europe
Morocco,10.15,3009.24946,,,36910558,Africa
Monaco,,,,,39244,Europe
Moldova,4.71,4551.130676,,,2617820,Europe
Madagascar,1.92,495.4904009,,,27691019,Africa
Maldives,7.18,7455.855728,,,540542,Asia
Middle East & North Africa,10.63437861,6669.90343,,,464554123,Asia
Mexico,4.71,8346.702379,,,128932753,North America
Marshall Islands,,,,,59194,Oceania
Middle income,6.515377179,5207.289024,,,5844325339,
North Macedonia,18.4,5888.004015,,,2083380,Europe
Mali,7.5,858.9158055,,,20250834,Africa
Malta,4.09,27884.64283,,,525285,Africa
Myanmar,1.79,1400.218242,,,54409794,Asia
Middle East & North Africa (excluding high income),11.90451567,3066.225355,,,396147843,Asia
Montenegro,15.86,7686.092949,,,621718,Europe
Mongolia,4.33,4007.308885,,,3278292,Asia
Northern Mariana Islands,,,,,57557,
Mozambique,3.39,448.6074536,,,31255435,Africa
Mauritania,10.66,1672.923535,,,4649660,Africa
Mauritius,7.11,8622.675515,,,1265740,Africa
Malawi,5.99,625.2941292,,,19129955,Africa
Malaysia,4.55,10401.79401,,,32365998,Asia
North America,8.438946867,61453.13406,,,367553264,North America
Namibia,20.35,4211.050929,,,2540916,Africa
New Caledonia,16.52,,,,271960,Oceania
Niger,0.69,565.0613331,,,24206636,Africa
Nigeria,9.01,2097.092473,,,206139587,Africa
Nicaragua,5.82,1905.256756,,,6624554,Africa
Netherlands,4.09,52304.05739,,,17441139,Europe
Norway,4.62,67294.47698,,,5379475,Europe
Nepal,4.44,1155.142854,,,29136808,Asia
Nauru,,,,,10834,Oceania
New Zealand,4.55,41791.79309,,,5084300,Oceania
OECD members,7.379637186,37975.91377,,,1370858752,
Oman,4.97,,,,5106622,Asia
Other small states,10.46202679,11821.7459,,,31941786,
Pakistan,4.65,1193.733397,,,220892331,Asia
Panama,10.23,12269.049,,,4314768,North America
Peru,6.24,6126.87454,,,32971846,South America
Philippines,3.36,3298.829851,,,109581085,Asia
Palau,,,,,18092,Oceania
Papua New Guinea,2.74,2636.800249,,,8947027,Oceania
Poland,3.55,15656.18273,,,37950802,Europe
Pre-demographic dividend,6.207226961,1342.482391,,,970795671,
Puerto Rico,11.17,32290.92114,,,3194034,North America
"Korea, Dem. People's Rep.",2.81,,,,25778815,Asia
Portugal,7.2,22439.87687,,,10305564,Europe
Paraguay,7.61,4949.7497,,,7132530,South America
West Bank and Gaza,27.35,3239.731108,,,4803269,Asia
